season,player_id,first_name,last_name,nickname,slug,status,eviction_week,image_url
bb28,192,Angela,Murray,Angela,angela,active,,https://realitystockwatch.com/storage//houseguests/bb28/angela-murray.png
bb28,178,Ashley,Trail,Ashley,ashley,evicted,1,https://realitystockwatch.com/storage/houseguests/bb28/ashley-trail.png
bb28,179,Barrett,Pfeiffer,Barrett,barrett,active,,https://realitystockwatch.com/storage//houseguests/bb28/barrett-pfeiffer.png
bb28,180,Chuk,Anyanwu,Chuk,chuk,evicted,5,https://realitystockwatch.com/storage/houseguests/bb28/chuk-anyanwu.png
bb28,194,Dianelys,Valladares,Dee,dee,active,,https://realitystockwatch.com/storage//houseguests/bb28/dee-valladares.png
bb28,193,Rick,Devens,Devens,devens,active,,https://realitystockwatch.com/storage//houseguests/bb28/rick-devens.png
bb28,181,Drew,Campbell,Drew,drew,active,,https://realitystockwatch.com/storage//houseguests/bb28/drew-campbell.png
bb28,182,Haley,Thogmartin,Haley,haley,active,,https://realitystockwatch.com/storage//houseguests/bb28/haley-thogmartin.png
bb28,183,Jason,De Puy,Jason,jason,evicted,3,https://realitystockwatch.com/storage/houseguests/bb28/jason-de-puy.png
bb28,184,Kamuela,Kirk,Kamu,kamu,evicted,6,https://realitystockwatch.com/storage//houseguests/bb28/kamu-kirk.png
bb28,185,LaTrice,Verrett,LaTrice,latrice,active,,https://realitystockwatch.com/storage//houseguests/bb28/latrice-verrett.png
bb28,186,Lyric,Medeiros,Lyric,lyric,evicted,4,https://realitystockwatch.com/storage//houseguests/bb28/lyric-medeiros.png
bb28,187,Mallory,Aurichio,Mallory,mallory,active,,https://realitystockwatch.com/storage//houseguests/bb28/mallory-aurichio.png
bb28,188,Melody,Morris,Melody,melody,active,,https://realitystockwatch.com/storage//houseguests/bb28/melody-morris.png
bb28,189,Rome,Seymour,Rome,rome,evicted,2,https://realitystockwatch.com/storage/houseguests/bb28/rome-seymour.png
bb28,190,Taylor,Brown,Taylor,taylor,active,,https://realitystockwatch.com/storage//houseguests/bb28/taylor-brown.png
bb28,191,Yash,Patel,Yash,yash,active,,https://realitystockwatch.com/storage//houseguests/bb28/yash-patel.png
